Student_ID,Name,Gender,DOB,Email,Address,PhoneNumber,Final_Score,Rating_class,Rating_teacher,Class_recommendation
0,Marissa Martin,Male,04/24/2009,zacharywilliams@yahoo.com,"49268 Tyler Points Suite 686
Jocelynville, AR 50291",9742590055084,2,2,5,False
1,Sandra Young,Male,02/15/2005,tracywade@torres.com,"5833 Koch Alley Suite 995
South Jessicaville, MD 16552",2197638854314,9,1,4,False
2,Karen Velez,Male,09/26/1989,nancyreyes@murray-thomas.com,"382 Linda Trafficway Suite 498
Stephaniechester, MD 95842",9770487713762,8,2,1,False
3,Lori Lambert,Male,03/13/1992,joseph59@chase.com,"0179 Long Unions
North Annette, NC 16785",6431667411768,4,4,1,False
4,Raymond Nguyen,Male,12/27/2006,baileykeith@adams-chapman.com,"78576 Alvarado Walk
Andreaport, IN 11809",0404310651880,4,5,3,False
5,Nicole Joseph,Male,02/04/1999,chris60@chen.com,"087 Clark Curve Suite 237
Simpsonfort, NE 86445",4413745403752,5,1,1,True
6,Dr. Travis Williams MD,Male,06/03/1993,williamskimberly@hotmail.com,"25338 Carter Point Apt. 599
Roblesberg, WV 88313",0352173402288,3,5,1,True
7,David Campbell,Female,02/12/2008,david57@gmail.com,"0322 Knight Glen
Lake Grant, HI 93325",7221382839597,7,4,2,False
8,James Koch,Male,06/12/2005,lharrington@gmail.com,"6153 Stein Cliffs Suite 999
New Bryanville, KS 84653",8613003252251,7,1,5,True
9,Kathleen Spencer,Male,04/20/2010,keith35@phillips.biz,"568 Blackwell Rapids Suite 548
West Carl, WA 26933",7989760393961,7,5,5,False
10,Deborah Copeland,Female,07/13/2006,stephensjonathan@yahoo.com,"22695 Gentry Trafficway
Lake John, OK 55642",5571225323968,1,5,2,True
11,Christopher Wilson,Female,12/04/2002,fbrown@garcia-cruz.com,"605 Drew Mountain Suite 869
Trevinostad, NM 99184",5591115293636,1,5,5,True
12,Joseph Jenkins,Male,01/19/2001,uwaller@coleman.info,"83160 Hutchinson Summit Suite 408
Davidberg, CT 64107",4253432347134,9,1,4,False
13,Michelle Hughes,Male,11/29/1994,michael77@leonard.com,"8718 Hensley Tunnel
Port Ashleehaven, NY 26599",7889751263770,6,1,2,False
14,Adam Smith,Male,04/05/2001,donnalindsey@gmail.com,"57515 Spencer Green Apt. 473
Buchananstad, WI 56271",2828279181979,1,2,5,True
15,Colleen Miller,Male,02/10/2008,kevin98@gmail.com,"78600 James View Suite 852
Yorkburgh, NV 28987",5502454683167,8,3,2,False
